Learning Rate,Batch Size,F1-Score
3.60634863972847e-05,452,0.6157894078673897
0.0014049915288175093,453,0.03708589856347112
5.512926225087434e-05,276,0.6221267950780223
6.098283908236056e-07,150,0.4037833825007041
4.324518581155819e-07,311,0.26492636033426226
0.000746470024356061,312,0.03708589856347112
2.2735723377092203e-06,449,0.46678696232131145
1.0577352126052562e-06,377,0.37024105892012305
1.619754663610498e-06,496,0.41401135543947754
6.951918666569094e-08,462,0.11160047918716925
1.4973089686751905e-05,128,0.6258673709386013
3.4587509094694365e-05,227,0.6425460134989041
3.3963433596514176e-05,128,0.6563496642787862
1.313053953747309e-05,512,0.5858753930833461
1e-08,128,0.12653652170611573
4.577226917569261e-05,128,0.6523935916258725
5.018840765256039e-06,128,0.5924597554051492
0.01,128,0.03906476909671797
3.734403507214726e-05,128,0.6447703595990981
3.118753495975237e-05,128,0.6482399427538172
3.911116506084178e-05,128,0.649838213708545
3.571717958128042e-05,128,0.6365981047241218
3.0511899381772405e-05,128,0.6396399562568125
4.554567952471195e-05,128,0.654733769455168
4.83519417455445e-05,128,0.647818336422392
