Learning Rate,Batch Size,F1-Score
3.60634863972847e-05,452,0.15196403176360956
0.0014049915288175093,453,0.40241000335344485
5.512926225087434e-05,276,0.1864214477131986
6.098283908236056e-07,150,0.12547410167130724
4.324518581155819e-07,311,0.13445872901620026
0.000746470024356061,312,0.4026919397012739
2.2735723377092203e-06,449,0.13515607252059952
1.0577352126052562e-06,377,0.13173101869679815
1.619754663610498e-06,496,0.12786625171843055
6.951918666569094e-08,462,0.11853534593665094
0.01,128,0.5057874753385057
0.004136462251228855,128,0.5311466578622625
0.003258940511079063,128,0.48851277876262306
0.01,128,0.46209863303481435
0.0043118228578478395,128,0.5160910536276776
0.01,512,0.4399731241400515
0.004246562158784051,128,0.49874185929926895
0.0022821309189082167,130,0.48405255792400825
0.009959346081723715,138,0.48240510840372863
1.0237461667326949e-08,142,0.11477567319041544
0.004566859659662963,128,0.5075773789872001
0.0019223731873291145,129,0.5094352553351793
0.004097381475893209,128,0.5004937013593751
0.004094600354173167,128,0.4888299410966752
0.00412786520695751,128,0.5085021117497274
