Learning Rate,Batch Size,F1-Score
3.60634863972847e-05,452,0.5935420792505728
0.0014049915288175093,453,0.40539582659689366
5.512926225087434e-05,276,0.6440741169460381
6.098283908236056e-07,150,0.010902637723537587
4.324518581155819e-07,311,0.000543993842305287
0.000746470024356061,312,0.6540943368936233
2.2735723377092203e-06,449,0.04172662799785246
1.0577352126052562e-06,377,0.003370471642191961
1.619754663610498e-06,496,0.007266377837298884
6.951918666569094e-08,462,5.4290290181601015e-05
0.00024571683502468274,512,0.6362587877881588
0.0006253152103763553,285,0.6579414952976659
0.0005270366526910422,215,0.6599413956429455
9.499676523935883e-05,449,0.6336552598679422
0.0005667131053380914,512,0.6150124402774702
0.0003733784188394594,128,0.6666451057321768
0.0005023031011159248,128,0.6486112046177208
0.000155138426831182,128,0.661287127721446
8.499966596969026e-05,128,0.6537920842156701
0.0002846856377338198,128,0.6419587034431574
0.00048543981510524106,128,0.6403858856814465
1e-08,128,2.8772838440512156e-05
0.00013538819183867113,128,0.6656173083634771
0.0001525141409720021,128,0.6629896465380564
0.00041508620266707003,309,0.6636081756113968
