Learning Rate,Batch Size,F1-Score
3.60634863972847e-05,452,0.47368340350911164
0.0014049915288175093,453,0.6291779089664261
5.512926225087434e-05,276,0.5253671386468861
6.098283908236056e-07,150,0.20522478021869767
4.324518581155819e-07,311,0.1522839923859119
0.000746470024356061,312,0.6315436558736998
2.2735723377092203e-06,449,0.23794211900160223
1.0577352126052562e-06,377,0.19882412826575874
1.619754663610498e-06,496,0.20003909873456538
6.951918666569094e-08,462,0.12446192934002343
0.01,128,0.43364359978377176
0.0008018348256328946,512,0.6348324744995089
0.0004126916960708075,128,0.6428878006827543
0.0007191906645811599,128,0.6387518898525776
0.00034285403992053164,128,0.6435946283593937
0.00030517720877254267,510,0.5984113988000704
0.00400380601218791,512,0.5733898042672593
1.0034652719486662e-08,172,0.12504703398931963
0.00020876780846393678,130,0.6291884390599127
0.0016416495835729142,129,0.6402116188774528
0.000840537306054723,128,0.6640021665699478
0.0011255992547836544,130,0.6309195667845559
0.000659595957049089,128,0.6653546352273656
0.0006531368709217767,128,0.6476939783629253
0.0006570838741038767,128,0.648660522079441
