Learning Rate,Batch Size,F1-Score
3.60634863972847e-05,452,0.43829753242829544
0.0014049915288175093,453,0.6213960754610028
5.512926225087434e-05,276,0.5073602937647779
6.098283908236056e-07,150,0.15640903027029912
4.324518581155819e-07,311,0.14657724058790617
0.000746470024356061,312,0.6367165978239047
2.2735723377092203e-06,449,0.19743212147555997
1.0577352126052562e-06,377,0.16154996581897862
1.619754663610498e-06,496,0.16491721989093613
6.951918666569094e-08,462,0.12658390991451343
0.01,128,0.5145038139028417
0.0006137149997902645,128,0.6353132692607768
0.0005140076573732328,512,0.5925530242217059
0.0010574695275895518,195,0.6372792763068978
0.01,512,0.5394930181300223
0.0006130420179663685,238,0.6248605454524574
0.0010108536517790942,128,0.6514242180191361
0.0015705870346745473,129,0.6281281815658669
0.0008113468082680297,128,0.6370346495139868
0.0008476364164153993,128,0.6369475259775841
