fold,epoch,train_loss,val_loss,accuracy,precision,recall,f1_score
1,1,1.1034252709084815,0.8719850312108579,66.71256454388984,0.6419273073627989,0.6345987856908376,0.6284855155822282
1,2,0.7664807199776827,0.8889971194059952,67.26333907056798,0.6550919277604946,0.6438094722308417,0.6360758580332648
1,3,0.5861126132063813,0.8551443581995757,68.88123924268503,0.6579921402952471,0.6491301071167886,0.6497526773946696
1,4,0.4459096556017687,0.9353519678115845,68.84681583476764,0.6558569377167976,0.6483736298363851,0.6486904213379956
1,5,0.33852919952555016,1.038246908913488,68.39931153184165,0.6596858150038892,0.6458573039696173,0.6414170677758606
2,1,0.4092639181148875,0.3743884654148765,86.81129476584022,0.854668720571581,0.8527501811253482,0.8524148378736529
2,2,0.23424715528285112,0.5628127352051113,81.26721763085399,0.8081885323740752,0.788102692263639,0.7900447240374016
2,3,0.1973273792191521,0.5532847616983496,81.19834710743801,0.7910124375654688,0.7906244520808082,0.7893503831761918
2,4,0.15000620162994652,0.6028114233327948,81.06060606060606,0.7952349762687788,0.7909875513044948,0.789191816730795
2,5,0.1297474399024805,0.6886252074137978,79.64876033057851,0.7775011888692989,0.7705797258468595,0.7722539622978584
3,1,0.213646145680776,0.16468876308721045,94.59366391184572,0.9385806417083444,0.9408191867810605,0.9388039983818307
3,2,0.11186087518357314,0.21298803259497104,92.52754820936639,0.9203727352671638,0.9194010571742153,0.9189447103699784
3,3,0.12275360383420855,0.3065210801103841,89.39393939393939,0.8861667488618568,0.8873844908409565,0.8853714389499383
3,4,0.10945117904466915,0.3093001337155052,89.46280991735537,0.8884127092627635,0.8831496625814574,0.8836290960345602
3,5,0.09281358985578293,0.37189024686813354,88.22314049586777,0.869901708335173,0.8694181952506458,0.86729145202915
4,1,0.14108759089076256,0.10765066418958746,96.2465564738292,0.9602142705134618,0.9572799448596725,0.9581679589776153
4,2,0.08337025076744485,0.17224593881679617,94.28374655647383,0.938921143009938,0.9355715660986001,0.9366421138763796
4,3,0.08756655686954548,0.24259791555611984,92.25206611570248,0.9168120285294994,0.9112968386793776,0.9128023208280318
4,4,0.08383182730464327,0.29523232060930005,90.66804407713498,0.8981634406765073,0.8998770656382441,0.8972406408490559
4,5,0.07653773683481492,0.34476125305113586,90.3236914600551,0.8964442864963422,0.8951999655283713,0.894432290839215
5,1,0.1132928659668663,0.10608501424608023,96.5564738292011,0.9630343096272143,0.9602120455309306,0.9610840611833418
5,2,0.06322299283775655,0.1269068912319515,95.66115702479338,0.9559247746074522,0.9486281241127599,0.9509619250793607
5,3,0.07078153104777192,0.15758667141199112,95.0068870523416,0.9457152547156542,0.9417393292572713,0.9431809622760867
5,4,0.07504806726413606,0.24618989715109701,92.45867768595042,0.9210918629527908,0.9128570721959801,0.9151549372434697
5,5,0.06460383628715076,0.2814956151920816,91.59779614325069,0.9119666760817218,0.9060800266576877,0.9075039733969833
6,1,0.09484587065302409,0.08835838694611321,96.866391184573,0.9658779037295933,0.9649329376661077,0.9653031905282343
6,2,0.053244498220610094,0.09993157519594482,96.45316804407713,0.9615593222611287,0.9610719343588214,0.9611668101336077
6,3,0.06455012966602386,0.11935614357176035,95.52341597796143,0.9497635150150797,0.9519445172627217,0.9504905375917286
6,4,0.06410381073838325,0.13885469880440962,94.97245179063361,0.9448190483769956,0.9446113582121346,0.9444970328879534
6,5,0.04743750962674372,0.20401472177194513,93.38842975206612,0.929388241260005,0.9268826811875379,0.9270406799673985
7,1,0.0777535079313176,0.073436649111302,97.45179063360881,0.9717569499830122,0.9696251927103073,0.9703026419538348
7,2,0.048979220405261925,0.10678144009864848,96.52203856749311,0.9623460266363175,0.9611931366693625,0.9614422591257619
7,3,0.06533010153529736,0.15105648371188538,95.04132231404958,0.9474914754351518,0.9450432260003967,0.9457292595685041
7,4,0.05632690000757166,0.14286117935958115,94.86914600550965,0.9437809673768389,0.9435338436485661,0.9435278864525908
7,5,0.04602699902338477,0.18829286098480225,94.31818181818181,0.9367660171055425,0.9358828042063843,0.9359987281893496
8,1,0.07224736783326,0.06672281318384668,97.72727272727273,0.9760519867301873,0.9736318908405022,0.9747390084291976
8,2,0.0503442637509779,0.06696659091698087,97.31404958677686,0.9706329671494137,0.969191149439951,0.9696598248132253
8,3,0.049409931809590246,0.09259724997631881,96.83195592286502,0.9652073594680117,0.9653202435401356,0.965021157256519
8,4,0.05212434132041021,0.09630707890281211,96.93526170798899,0.9652997605262474,0.9651592404795448,0.9651012944753902
8,5,0.042865444624612295,0.12026082384197609,96.21212121212122,0.9586927173670599,0.9569344764032022,0.957480556175534
9,1,0.06242929208399421,0.06785278589181278,97.45179063360881,0.9715748707427634,0.9741449010928639,0.9725370063109394
9,2,0.044593765234042494,0.055498863043992416,98.14049586776859,0.9789146685129249,0.9803538419745325,0.9795471831813174
9,3,0.044567978044122374,0.10310899790214456,96.45316804407713,0.959191256925663,0.9634468584211364,0.9609749047536582
9,4,0.05497637164912054,0.09656704071423282,96.5564738292011,0.9626469443230785,0.9608155225103245,0.9615863003577767
9,5,0.046483518897330614,0.13432690987120505,95.24793388429752,0.9491288952387043,0.9456930904846554,0.9466971898454912
